DATE,average_daily_fee
2023-10-18,7.189444157440048e-05
2023-10-17,6.608348549057436e-05
2023-10-16,6.851012352309324e-05
2023-10-15,4.5235295784822846e-05
2023-10-14,5.1333608815322664e-05
2023-10-13,7.914778093003016e-05
2023-10-12,9.27463128907861e-05
2023-10-11,8.163467203325814e-05
2023-10-10,6.0391198519610484e-05
2023-10-09,7.008541294139308e-05
2023-10-08,6.34985621597104e-05
2023-10-07,0.0001696649112513127
2023-10-06,0.00014252954511970533
2023-10-05,8.361430788262214e-05
2023-10-04,9.168626343805445e-05
2023-10-03,9.362990272448611e-05
2023-10-02,7.923334122458706e-05
2023-10-01,5.9053793819965075e-05
2023-09-30,7.82488489657831e-05
2023-09-29,8.890678313738394e-05
2023-09-28,7.655628120588494e-05
2023-09-27,9.40923470564686e-05
2023-09-26,8.924172575527323e-05
2023-09-25,0.00011676460363954703
2023-09-24,8.406189162724882e-05
2023-09-23,8.192190376054401e-05
2023-09-22,0.00010413773111241597
2023-09-21,0.00010971497566854022
2023-09-20,8.586156296950185e-05
2023-09-19,9.505521028089554e-05
2023-09-18,7.361638333241585e-05
2023-09-17,4.631263371617277e-05
2023-09-16,4.5016047772543365e-05
2023-09-15,4.635261581771483e-05
2023-09-14,5.36218492923652e-05
2023-09-13,6.07453316251878e-05
2023-09-12,6.711565057707894e-05
2023-09-11,7.12153684779132e-05
2023-09-10,8.428076992092831e-05
2023-09-09,5.445263240092245e-05
2023-09-08,8.643839273961556e-05
2023-09-07,5.86871903505761e-05
2023-09-06,6.233328805395333e-05
2023-09-05,5.2796502587141054e-05
2023-09-04,3.8862770692746656e-05
2023-09-03,3.181595447951595e-05
2023-09-02,4.309785012635603e-05
2023-09-01,6.233355368158298e-05
2023-08-31,6.067333484974912e-05
2023-08-30,4.711014990159344e-05
2023-08-29,4.22768514554242e-05
2023-08-28,5.122442288249399e-05
2023-08-27,3.257288229519615e-05
2023-08-26,3.233247103160559e-05
2023-08-25,4.2418164970179064e-05
2023-08-24,4.373900396090714e-05
2023-08-23,4.626272462915075e-05
2023-08-22,4.469713313548268e-05
2023-08-21,3.0133876314823482e-05
2023-08-20,2.446684025594803e-05
2023-08-19,3.212778943014273e-05
2023-08-18,5.1991636740411995e-05
2023-08-17,3.770692846932245e-05
2023-08-16,3.182148284110416e-05
2023-08-15,3.1322138139444256e-05
2023-08-14,3.199079336237804e-05
2023-08-13,2.712221060847515e-05
2023-08-12,3.853954799636535e-05
2023-08-11,4.632502098559564e-05
2023-08-10,6.877117467650114e-05
2023-08-09,5.345647395341905e-05
2023-08-08,8.790348695930273e-05
2023-08-07,5.3070741204210535e-05
2023-08-06,2.7846213017166715e-05
2023-08-05,4.215302937951792e-05
2023-08-04,7.069477320824072e-05
2023-08-03,4.882457346215415e-05
2023-08-02,5.3448204203004916e-05
2023-08-01,4.483093593454095e-05
2023-07-31,3.7381703360811366e-05
2023-07-30,2.6524372969744846e-05
2023-07-29,3.8155355231034255e-05
2023-07-28,4.531982650119588e-05
2023-07-27,5.045163023741285e-05
2023-07-26,4.15648479058888e-05
2023-07-25,3.86012299118444e-05
2023-07-24,4.991083196993061e-05
2023-07-23,4.5652920228582065e-05
2023-07-22,0.0001591416194978389
2023-07-21,7.081587799177316e-05
2023-07-20,5.682980424575502e-05
2023-07-19,3.782142882129916e-05
2023-07-18,3.276011956738321e-05
2023-07-17,4.018310863904938e-05
2023-07-16,2.592647222105685e-05
2023-07-15,3.451820842096517e-05
2023-07-14,5.378013373143849e-05
2023-07-13,5.230039235458074e-05
2023-07-12,4.033202201455151e-05
2023-07-11,3.921475457618062e-05
2023-07-10,3.203439856837241e-05
2023-07-09,2.218567154384036e-05
2023-07-08,2.569343409500312e-05
2023-07-07,3.462062230447608e-05
2023-07-06,5.022813564458327e-05
2023-07-05,4.3316964816504444e-05
2023-07-04,6.035634642250189e-05
2023-07-03,7.767941096692027e-05
2023-07-02,7.677732043753165e-05
2023-07-01,7.845199815587943e-05
2023-06-30,7.794915835011756e-05
2023-06-29,8.45711266040305e-05
2023-06-28,9.01796704278582e-05
2023-06-27,7.279890796535858e-05
2023-06-26,8.016469477373528e-05
2023-06-25,7.67691293704566e-05
2023-06-24,9.336498703785025e-05
2023-06-23,0.000107260388795749
2023-06-22,0.00011331916437311305
2023-06-21,0.00012081099688944971
2023-06-20,8.300464847056564e-05
2023-06-19,7.515966383865558e-05
2023-06-18,6.933091993507434e-05
2023-06-17,8.443696354776411e-05
2023-06-16,8.907616135822092e-05
2023-06-15,9.696124114506405e-05
2023-06-14,0.00012057396793665971
2023-06-13,9.07370343473435e-05
2023-06-12,0.00011469194067462369
2023-06-11,8.7948694091448e-05
2023-06-10,0.00013584453637281775
2023-06-09,0.00018925547155139503
2023-06-08,0.00017087170007321203
2023-06-07,0.00022500371830485902
2023-06-06,0.0001794582495801469
2023-06-05,0.00016144885008935014
2023-06-04,0.00010574111109279405
2023-06-03,0.00011588232437548014
2023-06-02,0.0001561457030016459
2023-06-01,0.0001970186640485876
2023-05-31,0.00016277873418742538
2023-05-30,0.00015500710144280622
2023-05-29,0.00012925218869248216
2023-05-28,0.00012610616190809762
2023-05-27,0.00013163974132429299
2023-05-26,0.0001837620521889765
2023-05-25,0.0001996371503388968
2023-05-24,0.0001599672495875754
2023-05-23,0.00013416108496356775
2023-05-22,0.00014214854893336733
2023-05-21,0.00014683979653737418
2023-05-20,0.00020105162539883447
2023-05-19,0.00022609474464279424
2023-05-18,0.00022424848050362308
2023-05-17,0.00015959050578108697
2023-05-16,0.0001995029578683064
2023-05-15,0.0001706255639567605
2023-05-14,0.00013997879743919125
2023-05-13,0.00018898960596900078
2023-05-12,0.00034064688297760786
2023-05-11,0.000355646286792216
2023-05-10,0.000505856641391273
2023-05-09,0.0007359153016267255
2023-05-08,0.0011048651342924231
2023-05-07,0.0006644683892459916
2023-05-06,0.00030281869501640147
2023-05-05,0.0003280447681616969
2023-05-04,0.00023105505172838276
2023-05-03,0.0002536915575037989
2023-05-02,0.000249375614125155
2023-05-01,0.00010152623358997194
2023-04-30,8.380854804438382e-05
2023-04-29,8.812536996611104e-05
2023-04-28,9.486977626664062e-05
2023-04-27,9.969783863914036e-05
2023-04-26,7.581745961265441e-05
2023-04-25,7.223573145902348e-05
2023-04-24,5.7084285940367586e-05
2023-04-23,3.159928708753206e-05
2023-04-22,4.62022658082278e-05
2023-04-21,6.839570121345377e-05
2023-04-20,7.159144083078599e-05
2023-04-19,6.928868372210231e-05
2023-04-18,6.515858717146353e-05
2023-04-17,6.590011239970553e-05
2023-04-16,6.866183542287363e-05
2023-04-15,7.674769708709841e-05
2023-04-14,8.779529717463327e-05
2023-04-13,7.810845582787836e-05
2023-04-12,7.277325857285764e-05
2023-04-11,8.067208528786855e-05
2023-04-10,7.518195577039269e-05
2023-04-09,6.0727473024812824e-05
2023-04-08,6.874474397576278e-05
2023-04-07,7.608457489627731e-05
2023-04-06,9.298408511972583e-05
2023-04-05,9.240286783804389e-05
2023-04-04,8.03332801035304e-05
2023-04-03,8.323116066332274e-05
2023-04-02,7.162065566620385e-05
2023-04-01,9.862001414064359e-05
2023-03-31,0.00010553929523389494
2023-03-30,8.434123475932224e-05
2023-03-29,8.228226573869641e-05
2023-03-28,8.857619879158149e-05
2023-03-27,7.808466723092074e-05
2023-03-26,8.370604219060584e-05
2023-03-25,0.00010543126390004177
2023-03-24,0.00015174645269518502
2023-03-23,0.00013247005534386757
2023-03-22,0.00011879838702848022
2023-03-21,8.808715562982677e-05
2023-03-20,8.691260161505864e-05
2023-03-19,0.00010610345790711556
2023-03-18,0.00011764306982384107
2023-03-17,0.00012546760780702675
2023-03-16,0.00011320589688492563
2023-03-15,9.753003967437543e-05
2023-03-14,0.00011335717876617936
2023-03-13,7.843421074909892e-05
2023-03-12,8.045582933855588e-05
2023-03-11,8.52575156002212e-05
2023-03-10,0.0001334346026526315
2023-03-09,0.00013298419140042784
2023-03-08,8.976474127585911e-05
2023-03-07,7.081685016101367e-05
2023-03-06,7.603239348640652e-05
2023-03-05,6.109056067234685e-05
2023-03-04,6.590469585373817e-05
2023-03-03,7.850333143807768e-05
2023-03-02,7.253061148866734e-05
2023-03-01,6.765119743828807e-05
2023-02-28,7.76825955144754e-05
2023-02-27,7.738234833372096e-05
2023-02-26,5.435614406917342e-05
2023-02-25,6.175801530882768e-05
2023-02-24,6.292501194994685e-05
2023-02-23,6.543265254808656e-05
2023-02-22,6.535364934701578e-05
2023-02-21,5.963240269644139e-05
2023-02-20,6.619134926188918e-05
2023-02-19,6.402617343161166e-05
2023-02-18,7.206770377676146e-05
2023-02-17,8.304257937496113e-05
2023-02-16,9.071579082187698e-05
2023-02-15,0.00010861251195231429
2023-02-14,8.52942868235246e-05
2023-02-13,8.104532420848052e-05
2023-02-12,7.319552577248868e-05
2023-02-11,7.997340871489792e-05
2023-02-10,8.951464150993705e-05
2023-02-09,5.8325096630843967e-05
2023-02-08,5.8030739139900807e-05
2023-02-07,7.390132686924403e-05
2023-02-06,6.1023228358451345e-05
2023-02-05,5.500201221503868e-05
2023-02-04,6.685065028982474e-05
2023-02-03,7.703984712819418e-05
2023-02-02,6.425601071820287e-05
2023-02-01,6.394955486875055e-05
2023-01-31,5.937812752791131e-05
2023-01-30,3.643685794862486e-05
2023-01-29,3.273129169357676e-05
2023-01-28,4.319612790079301e-05
2023-01-27,4.717447758584972e-05
2023-01-26,4.0828691264181336e-05
2023-01-25,4.221561883520727e-05
2023-01-24,5.778735283476069e-05
2023-01-23,5.081527501710881e-05
2023-01-22,5.486153313925795e-05
2023-01-21,5.6724600291809236e-05
2023-01-20,6.611366125575596e-05
2023-01-19,5.427663246565106e-05
2023-01-18,5.3633307337232676e-05
2023-01-17,4.193281534748938e-05
2023-01-16,3.4020891500773915e-05
2023-01-15,3.165452563807679e-05
2023-01-14,4.526270459532823e-05
2023-01-13,5.2519192921159736e-05
2023-01-12,5.226767023229451e-05
2023-01-11,4.321354762186389e-05
2023-01-10,3.6853239963145885e-05
2023-01-09,3.7817120484988544e-05
2023-01-08,2.9681941327334534e-05
2023-01-07,3.4039630288755857e-05
2023-01-06,4.782084384089581e-05
2023-01-05,5.1079972690601977e-05
2023-01-04,5.315713545564433e-05
2023-01-03,4.678402742092567e-05
2023-01-02,3.847572695522507e-05
2023-01-01,3.793145795558784e-05
2022-12-31,5.026416696585165e-05
2022-12-30,7.489047368692358e-05
2022-12-29,7.738835329285035e-05
2022-12-28,7.575863926960703e-05
2022-12-27,9.964941807076397e-05
2022-12-26,7.848706179755169e-05
2022-12-25,6.676682944173309e-05
2022-12-24,8.268162820675069e-05
2022-12-23,6.342692008060568e-05
2022-12-22,6.320234975901709e-05
2022-12-21,6.0659416054108154e-05
2022-12-20,6.713038610153489e-05
2022-12-19,6.973885478741473e-05
2022-12-18,5.4454055945042406e-05
2022-12-17,6.623373624620045e-05
2022-12-16,6.517656218525752e-05
2022-12-15,7.353660673694406e-05
2022-12-14,5.460477266396812e-05
2022-12-13,4.6029825780575406e-05
2022-12-12,4.8020350738256e-05
2022-12-11,3.7615828144801377e-05
2022-12-10,5.072635355115285e-05
2022-12-09,5.1786793366156234e-05
2022-12-08,5.6382794858966444e-05
2022-12-07,6.72881182250815e-05
2022-12-06,8.573128072154178e-05
2022-12-05,7.783521024286286e-05
2022-12-04,7.68677778990946e-05
2022-12-03,9.197454686373053e-05
2022-12-02,0.0001059083501334069
2022-12-01,0.00010269922376316716
2022-11-30,9.99296169717336e-05
2022-11-29,8.562308269984364e-05
2022-11-28,8.73461521649735e-05
2022-11-27,7.985173847632377e-05
2022-11-26,0.00010297116416741028
2022-11-25,0.00010471818375712721
2022-11-24,0.00010981722595517582
2022-11-23,0.0001052925502104037
2022-11-22,0.00010575956645013514
2022-11-21,9.367669546013551e-05
2022-11-20,8.455521505025582e-05
2022-11-19,0.00010378382229740633
2022-11-18,0.00015501449397534853
2022-11-17,0.000139025469140523
2022-11-16,0.0001323638249376801
2022-11-15,0.00012827408234130492
2022-11-14,9.425696265923039e-05
2022-11-13,7.19051881007187e-05
2022-11-12,6.763607500815034e-05
2022-11-11,7.709544576348054e-05
2022-11-10,8.311210752959903e-05
2022-11-09,8.541488977469077e-05
2022-11-08,7.396938494411355e-05
2022-11-07,5.998553122486977e-05
2022-11-06,6.16066353332976e-05
2022-11-05,6.228360325507977e-05
2022-11-04,6.982735896843868e-05
2022-11-03,6.369812654230589e-05
2022-11-02,6.495149440510828e-05
2022-11-01,5.4135622972424904e-05
2022-10-31,5.4231576383634183e-05
2022-10-30,5.7326100397050604e-05
2022-10-29,5.804284693720047e-05
2022-10-28,6.615532888158706e-05
2022-10-27,6.477556633519287e-05
2022-10-26,7.694272075904458e-05
2022-10-25,6.758994572302252e-05
2022-10-24,4.51894791406728e-05
2022-10-23,3.5595864177131514e-05
2022-10-22,3.9793185068876765e-05
2022-10-21,4.35616410517801e-05
2022-10-20,4.842266877788967e-05
2022-10-19,6.34872878030639e-05
2022-10-18,6.489053101740825e-05
2022-10-17,5.0093138698741846e-05
2022-10-16,3.8570928005485694e-05
2022-10-15,3.8459835744835816e-05
2022-10-14,5.260068519715568e-05
2022-10-13,5.261992948952827e-05
2022-10-12,3.6104641380419334e-05
2022-10-11,3.3190113341665066e-05
2022-10-10,3.1338781621923e-05
2022-10-09,2.8084018121739428e-05
2022-10-08,2.836791480182418e-05
2022-10-07,3.919278510387098e-05
2022-10-06,3.657667337637136e-05
2022-10-05,3.449082574029749e-05
2022-10-04,3.678811127773155e-05
2022-10-03,4.192538017675844e-05
2022-10-02,4.227445774786324e-05
2022-10-01,5.087906505560079e-05
2022-09-30,5.784885932354757e-05
2022-09-29,5.564550276424955e-05
2022-09-28,5.315046650608981e-05
2022-09-27,6.189877492005314e-05
2022-09-26,5.57841574402937e-05
2022-09-25,4.9591748982354524e-05
2022-09-24,4.914934235221896e-05
2022-09-23,5.600253305569289e-05
2022-09-22,5.257186733606196e-05
2022-09-21,5.3683028123131734e-05
2022-09-20,5.464151216022368e-05
2022-09-19,5.167600752575894e-05
2022-09-18,5.732768766831771e-05
2022-09-17,6.796883342814384e-05
2022-09-16,7.298059752602732e-05
2022-09-15,6.246727719001882e-05
2022-09-14,6.333199371830013e-05
2022-09-13,5.982473880080578e-05
2022-09-12,4.823895929300927e-05
2022-09-11,4.6373307391053697e-05
2022-09-10,5.1314137292507085e-05
2022-09-09,6.0231314668436334e-05
2022-09-08,5.8543201135191996e-05
2022-09-07,5.5722699527595876e-05
2022-09-06,5.703069516083911e-05
2022-09-05,5.616651517513456e-05
2022-09-04,5.118159056018918e-05
2022-09-03,5.984355264079928e-05
2022-09-02,6.754551676349277e-05
2022-09-01,5.491390023953259e-05
2022-08-31,5.013357742152246e-05
2022-08-30,4.610683468917294e-05
2022-08-29,4.36428634408389e-05
2022-08-28,3.708607934332465e-05
2022-08-27,3.897650155265729e-05
2022-08-26,4.307510181865237e-05
2022-08-25,4.1837472778929666e-05
2022-08-24,3.811062695338384e-05
2022-08-23,4.4721036905280855e-05
2022-08-22,4.210249259581524e-05
2022-08-21,3.856503453647135e-05
2022-08-20,4.059020218029645e-05
2022-08-19,4.9405269729555774e-05
2022-08-18,5.119571034629247e-05
2022-08-17,5.927418417425713e-05
2022-08-16,4.306008503227499e-05
2022-08-15,4.346963713244104e-05
2022-08-14,3.866639999999991e-05
2022-08-13,4.959066590086911e-05
2022-08-12,6.316969480488629e-05
2022-08-11,6.489726454293618e-05
2022-08-10,7.206098591655769e-05
2022-08-09,8.953163050817018e-05
2022-08-08,6.0498516068936976e-05
2022-08-07,5.6603444670449334e-05
2022-08-06,5.701411836231529e-05
2022-08-05,7.298660452278339e-05
2022-08-04,6.281261498639645e-05
2022-08-03,5.522882600509856e-05
2022-08-02,5.6839271148602116e-05
2022-08-01,5.78924486198469e-05
2022-07-31,5.236499296792065e-05
2022-07-30,5.36246967717537e-05
2022-07-29,5.386669114513788e-05
2022-07-28,5.619182535317172e-05
2022-07-27,4.7467924745047374e-05
2022-07-26,5.498571983040163e-05
2022-07-25,4.995633556549086e-05
2022-07-24,5.341113000765317e-05
2022-07-23,6.011542222361288e-05
2022-07-22,8.259994450690517e-05
2022-07-21,8.829691202879086e-05
2022-07-20,9.855564257576047e-05
2022-07-19,9.531828819432021e-05
2022-07-18,9.000181794711472e-05
2022-07-17,7.816431046167077e-05
2022-07-16,8.064743242527727e-05
2022-07-15,9.679574655827468e-05
2022-07-14,0.00010984637594372832
2022-07-13,0.00010340066124128123
2022-07-12,6.304756589124781e-05
2022-07-11,6.688156970917121e-05
2022-07-10,6.387866664325957e-05
2022-07-09,7.173242138934696e-05
2022-07-08,8.517573627348302e-05
2022-07-07,8.664278234761124e-05
2022-07-06,9.166211932554141e-05
2022-07-05,8.025713121722819e-05
2022-07-04,5.640981666909324e-05
2022-07-03,4.8462270552941126e-05
2022-07-02,5.657119091775278e-05
2022-07-01,6.657209626518156e-05
2022-06-30,6.107194924284699e-05
2022-06-29,5.083223684260147e-05
2022-06-28,5.68276937278297e-05
2022-06-27,5.558434775554967e-05
2022-06-26,6.161706406132866e-05
2022-06-25,6.138753409137833e-05
2022-06-24,6.353760768710587e-05
2022-06-23,5.801634920634868e-05
2022-06-22,6.636807235235165e-05
2022-06-21,6.41066607975225e-05
2022-06-20,6.406250291587077e-05
2022-06-19,6.441180326063528e-05
2022-06-18,8.445844769857598e-05
2022-06-17,8.669347822112046e-05
2022-06-16,9.298660083660719e-05
2022-06-15,8.695547190123976e-05
2022-06-14,9.21231912820279e-05
2022-06-13,0.00010329379555454444
2022-06-12,4.5054743332111276e-05
2022-06-11,4.904258832531896e-05
2022-06-10,5.182721915862171e-05
2022-06-09,3.84284391751397e-05
2022-06-08,4.1386784099205994e-05
2022-06-07,4.468508619675984e-05
2022-06-06,4.723210883493673e-05
2022-06-05,4.694778495189757e-05
2022-06-04,5.751780550613133e-05
2022-06-03,6.763406688173128e-05
2022-06-02,7.370999765950305e-05
2022-06-01,6.91233011959652e-05
2022-05-31,4.960323679838434e-05
2022-05-30,4.906986204054926e-05
2022-05-29,4.793040262870513e-05
2022-05-28,5.2119989020873506e-05
2022-05-27,6.453732493261302e-05
2022-05-26,6.71821798091985e-05
2022-05-25,6.739933437657928e-05
2022-05-24,6.855762318435078e-05
2022-05-23,5.9699483829109805e-05
2022-05-22,5.571524016130356e-05
2022-05-21,5.341682433122468e-05
2022-05-20,6.403773706719043e-05
2022-05-19,6.510894486797058e-05
2022-05-18,6.290986428661147e-05
2022-05-17,6.790491112978287e-05
2022-05-16,7.721862299455478e-05
2022-05-15,6.917470877064863e-05
2022-05-14,8.820580735636136e-05
2022-05-13,0.00011686348929153694
2022-05-12,0.00010816577850797208
2022-05-11,8.228478538771076e-05
2022-05-10,6.23653049796537e-05
2022-05-09,7.079364948070011e-05
2022-05-08,5.2329868358045524e-05
2022-05-07,5.9498703582977475e-05
2022-05-06,5.912295422936541e-05
2022-05-05,7.075253766321788e-05
2022-05-04,5.41350678195198e-05
2022-05-03,3.478224671188763e-05
2022-05-02,3.9124872743437015e-05
2022-05-01,3.363936652577022e-05
2022-04-30,3.9986341130604206e-05
2022-04-29,4.7547045920094344e-05
2022-04-28,4.0879011585951693e-05
2022-04-27,3.888793058288777e-05
2022-04-26,4.137541853734218e-05
2022-04-25,4.620822829891468e-05
2022-04-24,3.027923965728487e-05
2022-04-23,3.491032764769465e-05
2022-04-22,4.203674656038019e-05
2022-04-21,3.8495498445676535e-05
2022-04-20,3.1143194167789794e-05
2022-04-19,3.4300395104843916e-05
2022-04-18,3.456004536950987e-05
2022-04-17,2.5764731145453418e-05
2022-04-16,2.850259727876663e-05
2022-04-15,3.478052069803116e-05
2022-04-14,4.165611933553512e-05
2022-04-13,4.283080052569238e-05
2022-04-12,3.84256715165382e-05
2022-04-11,3.798411805959732e-05
2022-04-10,3.155380824778463e-05
2022-04-09,3.501180753634144e-05
2022-04-08,4.299502201982707e-05
2022-04-07,3.726626683345462e-05
2022-04-06,3.7607314683525705e-05
2022-04-05,3.979534736495631e-05
2022-04-04,4.5622560176804456e-05
2022-04-03,4.626578696068517e-05
2022-04-02,5.0887151295776637e-05
2022-04-01,6.908941204836247e-05
2022-03-31,5.9449711149314024e-05
2022-03-30,4.094609065321912e-05
2022-03-29,3.47087858088799e-05
2022-03-28,3.687357867604943e-05
2022-03-27,3.426638147221373e-05
2022-03-26,3.5430735269292836e-05
2022-03-25,4.440313649950628e-05
2022-03-24,4.325607071832436e-05
2022-03-23,4.0982672513645834e-05
2022-03-22,4.084926087334483e-05
2022-03-21,3.6512713456862246e-05
2022-03-20,3.067696903779193e-05
2022-03-19,3.318913915288905e-05
2022-03-18,4.0544026894435135e-05
2022-03-17,3.7693352187948265e-05
2022-03-16,3.6995171279713354e-05
2022-03-15,3.72989755982643e-05
2022-03-14,3.9722604086412454e-05
2022-03-13,3.2542581646579304e-05
2022-03-12,3.50176446604011e-05
2022-03-11,4.371154356672196e-05
2022-03-10,4.453960302500825e-05
2022-03-09,4.127966532871468e-05
2022-03-08,4.1381380140829075e-05
2022-03-07,4.416191006925266e-05
2022-03-06,4.566097191911771e-05
2022-03-05,4.9976098499474104e-05
2022-03-04,5.845842068515578e-05
2022-03-03,7.564089150176704e-05
2022-03-02,0.00010138670283415946
2022-03-01,6.923745330216573e-05
2022-02-28,3.4477577827977444e-05
2022-02-27,3.2870227879752125e-05
2022-02-26,3.055731048937725e-05
2022-02-25,4.417556095874627e-05
2022-02-24,4.0327225730800854e-05
2022-02-23,3.2104789851755936e-05
2022-02-22,3.516609417324642e-05
2022-02-21,4.024994591452465e-05
2022-02-20,2.856317655272134e-05
2022-02-19,3.11454202371834e-05
2022-02-18,3.606019379058063e-05
2022-02-17,3.880656501273624e-05
2022-02-16,3.780973409598625e-05
2022-02-15,4.560913161539782e-05
2022-02-14,4.507853658438067e-05
2022-02-13,4.166795101853302e-05
2022-02-12,5.424149257852027e-05
2022-02-11,6.474572300315148e-05
2022-02-10,7.507523827416568e-05
2022-02-09,5.4847868166017e-05
2022-02-08,5.238583034134002e-05
2022-02-07,5.551118912049575e-05
2022-02-06,4.684208845051919e-05
2022-02-05,5.462191010106474e-05
2022-02-04,5.628919006557876e-05
2022-02-03,4.0011944946936746e-05
2022-02-02,4.40063103751097e-05
2022-02-01,5.386871787357492e-05
2022-01-31,4.9441239778292344e-05
2022-01-30,5.09284652440231e-05
2022-01-29,5.337224296436075e-05
2022-01-28,4.736644883582943e-05
2022-01-27,4.552258528865867e-05
2022-01-26,4.592349074960735e-05
2022-01-25,4.0932256268670185e-05
2022-01-24,4.298865417861042e-05
2022-01-23,3.767234315100046e-05
2022-01-22,4.452550308836807e-05
2022-01-21,4.4599267811770195e-05
2022-01-20,3.6656498737397006e-05
2022-01-19,3.203462690597542e-05
2022-01-18,3.5751226566361135e-05
2022-01-17,3.5211227546185906e-05
2022-01-16,2.9455060443856295e-05
2022-01-15,3.169508701940908e-05
2022-01-14,3.5695265281561586e-05
2022-01-13,3.8021904595377304e-05
2022-01-12,4.2879802157148946e-05
2022-01-11,4.216860953265782e-05
2022-01-10,4.294750291479057e-05
2022-01-09,3.7429398790347414e-05
2022-01-08,4.3293048320828784e-05
2022-01-07,5.6006318755114865e-05
2022-01-06,5.751022808693128e-05
2022-01-05,5.820112535136232e-05
2022-01-04,4.838575965965381e-05
2022-01-03,4.9358115276009025e-05
2022-01-02,4.702470063241292e-05
2022-01-01,4.9847730391684456e-05
